Region,Total,Assamese,Bengali,Bodo,Dogri,Gujarati,Hindi,Kannada,Kashmiri,Konkani,Maithili,Malayalam,Manipuri,Marathi,Nepali,Odia,Punjabi,Sanskrit,Santali,Sindhi,Tamil,Telugu,Urdu,Total_Scheduled,Non_Scheduled
Jammu & Kashmir,10000,7,16,0,2004,15,2083,6,5327,0,9,2,18,18,8,175,0,0,0,12,11,0,16,9727,273.0
Himachal Pradesh,10000,2,9,0,34,15,8588,1,83,0,2,0,5,130,5,896,1,1,0,2,2,8,0,9791,209.0
Punjab,10000,1,10,0,7,5,935,1,1,0,4,0,7,8,4,0,8982,0,0,0,4,3,10,9986,14.0
Chandigarh,10000,4,59,0,10,15,7360,4,13,1,19,4,12,62,18,2203,0,0,1,53,13,0,100,9981,19.0
Uttarakhand,10000,2,150,0,5,4,8915,1,2,0,3,0,6,105,4,261,0,0,3,3,3,0,422,9944,56.0
Haryana,10000,2,28,0,1,3,8805,1,2,0,6,0,5,8,6,947,0,0,1,5,4,0,148,9982,18.0
NCT of Delhi,10000,5,129,0,4,24,8492,6,11,1,53,2,16,22,22,520,0,0,19,49,15,0,517,9982,18.0
Rajasthan,10000,0,12,0,1,10,8939,1,1,0,4,0,3,1,2,332,0,0,56,1,1,0,97,9464,536.0
Uttar Pradesh,10000,1,12,0,0,1,9408,0,0,0,1,0,1,1,1,25,0,0,1,1,1,0,542,9998,2.0
Bihar,10000,0,78,0,0,1,7752,0,0,0,0,0,0,1,0,1,0,44,0,0,0,0,842,9975,25.0
Sikkim,10000,14,114,1,4,3,796,6,0,0,15,6,19,0,6260,16,32,0,5,0,12,17,33,7364,2636.0
Arunachal Pradesh,10000,390,0,0,0,0,727,51,7,3,710,4,1,0,29,20,17,689,49,27,0,12,0,2787,7213.0
Nagaland,10000,87,378,37,6,1,318,2,0,0,15,48,13,220,23,11,0,1,0,6,6,6,0,1187,8813.0
Manipur,10000,9,107,1,6,1,111,2,0,0,5,0,5330,6,223,3,5,0,0,0,6,4,1,5820,4180.0
Mizoram,10000,12,983,2,2,1,97,2,0,0,7,20,4,82,3,3,0,10,0,3,3,1,0,1235,8765.0
Tripura,10000,6,6573,1,1,4,211,2,0,0,3,65,4,8,71,3,0,11,0,3,10,1,0,6978,3022.0
Meghalaya,10000,134,784,16,1,1,212,2,0,0,6,15,70,184,5,15,0,1,1,3,4,7,0,1465,8535.0
Assam,10000,4838,2892,454,1,2,673,1,0,0,2,54,4,191,70,7,0,68,6,2,9,3,0,9278,722.0
West Bengal,10000,1,8622,5,0,5,696,0,0,0,1,0,2,127,18,7,0,266,1,2,10,0,182,9947,53.0
Jharkhand,10000,0,974,0,0,7,6195,0,0,0,2,0,3,5,161,24,0,991,1,3,9,0,596,9014,986.0
Odisha,10000,0,120,0,0,4,295,1,0,2,2,0,2,2,0,8270,5,0,206,1,1,159,160,9230,770.0
Chhattisgarh,10000,1,95,0,0,15,8362,1,0,0,9,0,56,1,358,26,0,7,37,4,60,0,31,9067,933.0
Madhya Pradesh,10000,0,15,0,0,26,8857,1,0,0,5,0,170,1,3,19,0,0,34,3,3,0,126,9264,736.0
Gujarat,10000,1,13,0,0,8597,706,3,0,1,11,0,152,4,30,10,0,0,196,7,12,0,79,9825,175.0
Maharashtra,10000,1,39,0,0,211,1289,89,1,36,33,0,0,6893,7,12,25,0,9,64,45,118,671,9548,452.0
Goa,10000,8,49,0,1,47,1029,466,3,89,3,1089,18,38,13,7,1,4,48,76,0,0,283,9883,117.0
Lakshadweep,10000,0,22,1,0,4,25,6,0,0,0,8417,0,4,1,6,1,0,0,1,56,7,5,8554,1446.0
Kerala,10000,2,9,0,0,1,16,26,0,21,0,9703,0,9,1,3,0,0,0,0,150,11,4,9957,43.0
Tamil Nadu,10000,0,3,0,0,38,55,178,0,1,101,0,12,1,3,1,0,0,1,0,8837,587,175,9993,7.0
Puducherry,10000,1,12,0,0,11,51,15,0,384,0,7,3,15,1,0,0,1,0,0,8822,596,69,9991,9.0
Andaman & Nicobar Islands,10000,3,2849,0,2,6,1929,6,1,722,1,17,25,29,41,0,8,0,1520,1324,0,0,34,8524,1476.0
